Code,Name,Cash Buying,Telegraphic Buying,Selling,Time,Date,Source,Crawl By,Crawled at
THB,THAILAND BAHT,597.41,663.79,689.25,23:00,14/11/2023,Vietcombank,Menes,2023-11-24T15:39:28.157254100
CAD,CANADIAN DOLLAR,"17,189.55","17,363.19","17,921.42",23:00,14/11/2023,Vietcombank,Menes,2023-11-24T15:39:28.229729100
CHF,SWISS FRANC,"26,349.05","26,615.20","27,470.89",23:00,14/11/2023,Vietcombank,Menes,2023-11-24T15:39:28.291797200
HKD,HONGKONG DOLLAR,"3,040.88","3,071.60","3,170.35",23:00,14/11/2023,Vietcombank,Menes,2023-11-24T15:39:28.357245200
CNY,YUAN RENMINBI,"3,270.91","3,303.95","3,410.69",23:00,14/11/2023,Vietcombank,Menes,2023-11-24T15:39:28.428069
DKK,DANISH KRONE,-,"3,431.94","3,563.60",23:00,14/11/2023,Vietcombank,Menes,2023-11-24T15:39:28.488799400
INR,INDIAN RUPEE,-,292.04,303.74,23:00,14/11/2023,Vietcombank,Menes,2023-11-24T15:39:28.543687100
KRW,KOREAN WON,15.86,17.62,19.22,23:00,14/11/2023,Vietcombank,Menes,2023-11-24T15:39:28.709475200
KWD,KUWAITI DINAR,-,"78,689.40","81,840.78",23:00,14/11/2023,Vietcombank,Menes,2023-11-24T15:39:28.792524900
MYR,MALAYSIAN RINGGIT,-,"5,108.97","5,220.75",23:00,14/11/2023,Vietcombank,Menes,2023-11-24T15:39:28.862254500
NOK,NORWEGIAN KRONER,-,"2,153.58","2,245.17",23:00,14/11/2023,Vietcombank,Menes,2023-11-24T15:39:28.931347800
RUB,RUSSIAN RUBLE,-,253.51,280.66,23:00,14/11/2023,Vietcombank,Menes,2023-11-24T15:39:28.996188500
SAR,SAUDI RIAL,-,"6,477.37","6,736.77",23:00,14/11/2023,Vietcombank,Menes,2023-11-24T15:39:29.047996
SEK,SWEDISH KRONA,-,"2,199.90","2,293.45",23:00,14/11/2023,Vietcombank,Menes,2023-11-24T15:39:29.156804700
USD,US DOLLAR,"24,070.00","24,100.00","24,440.00",23:00,15/11/2023,Vietcombank,Menes,2023-11-24T15:39:32.646531900
EUR,EURO,"25,707.07","25,966.74","27,118.61",23:00,15/11/2023,Vietcombank,Menes,2023-11-24T15:39:32.715274100
GBP,POUND STERLING,"29,526.13","29,824.37","30,783.42",23:00,15/11/2023,Vietcombank,Menes,2023-11-24T15:39:32.796931
JPY,YEN,156.53,158.11,165.7,23:00,15/11/2023,Vietcombank,Menes,2023-11-24T15:39:32.849252
AUD,AUSTRALIAN DOLLAR,"15,377.90","15,533.23","16,032.72",23:00,15/11/2023,Vietcombank,Menes,2023-11-24T15:39:32.911817700
SGD,SINGAPORE DOLLAR,"17,554.33","17,731.65","18,301.84",23:00,15/11/2023,Vietcombank,Menes,2023-11-24T15:39:32.978352800
THB,THAILAND BAHT,604.77,671.97,697.75,23:00,15/11/2023,Vietcombank,Menes,2023-11-24T15:39:33.031942800
CAD,CANADIAN DOLLAR,"17,284.94","17,459.53","18,020.97",23:00,15/11/2023,Vietcombank,Menes,2023-11-24T15:39:33.079599700
CHF,SWISS FRANC,"26,608.97","26,877.74","27,742.04",23:00,15/11/2023,Vietcombank,Menes,2023-11-24T15:39:33.132601300
HKD,HONGKONG DOLLAR,"3,031.16","3,061.77","3,160.23",23:00,15/11/2023,Vietcombank,Menes,2023-11-24T15:39:33.183941200
CNY,YUAN RENMINBI,"3,283.85","3,317.02","3,424.20",23:00,15/11/2023,Vietcombank,Menes,2023-11-24T15:39:33.265825900
DKK,DANISH KRONE,-,"3,472.23","3,605.46",23:00,15/11/2023,Vietcombank,Menes,2023-11-24T15:39:33.330704300
INR,INDIAN RUPEE,-,291.16,302.83,23:00,15/11/2023,Vietcombank,Menes,2023-11-24T15:39:33.379000300
KRW,KOREAN WON,16.13,17.93,19.55,23:00,15/11/2023,Vietcombank,Menes,2023-11-24T15:39:33.422168
KWD,KUWAITI DINAR,-,"78,525.62","81,670.94",23:00,15/11/2023,Vietcombank,Menes,2023-11-24T15:39:33.465711400
MYR,MALAYSIAN RINGGIT,-,"5,150.13","5,262.84",23:00,15/11/2023,Vietcombank,Menes,2023-11-24T15:39:33.522717
NOK,NORWEGIAN KRONER,-,"2,188.62","2,281.71",23:00,15/11/2023,Vietcombank,Menes,2023-11-24T15:39:33.571407900
RUB,RUSSIAN RUBLE,-,256.31,283.75,23:00,15/11/2023,Vietcombank,Menes,2023-11-24T15:39:33.615746800
SAR,SAUDI RIAL,-,"6,453.24","6,711.73",23:00,15/11/2023,Vietcombank,Menes,2023-11-24T15:39:33.659045300
SEK,SWEDISH KRONA,-,"2,245.46","2,340.97",23:00,15/11/2023,Vietcombank,Menes,2023-11-24T15:39:33.703453900
USD,US DOLLAR,"24,085.00","24,115.00","24,455.00",23:00,16/11/2023,Vietcombank,Menes,2023-11-24T15:39:37.692447900
EUR,EURO,"25,630.69","25,889.59","27,038.01",23:00,16/11/2023,Vietcombank,Menes,2023-11-24T15:39:37.764246300
GBP,POUND STERLING,"29,310.14","29,606.20","30,558.20",23:00,16/11/2023,Vietcombank,Menes,2023-11-24T15:39:37.839524900
JPY,YEN,155.98,157.55,165.11,23:00,16/11/2023,Vietcombank,Menes,2023-11-24T15:39:37.904897400
AUD,AUSTRALIAN DOLLAR,"15,309.32","15,463.96","15,961.22",23:00,16/11/2023,Vietcombank,Menes,2023-11-24T15:39:37.973638800
SGD,SINGAPORE DOLLAR,"17,515.79","17,692.72","18,261.64",23:00,16/11/2023,Vietcombank,Menes,2023-11-24T15:39:38.030165700
THB,THAILAND BAHT,603.1,670.11,695.83,23:00,16/11/2023,Vietcombank,Menes,2023-11-24T15:39:38.101071700
CAD,CANADIAN DOLLAR,"17,269.13","17,443.56","18,004.47",23:00,16/11/2023,Vietcombank,Menes,2023-11-24T15:39:38.175118300
CHF,SWISS FRANC,"26,640.41","26,909.50","27,774.79",23:00,16/11/2023,Vietcombank,Menes,2023-11-24T15:39:38.235318200
HKD,HONGKONG DOLLAR,"3,031.40","3,062.02","3,160.48",23:00,16/11/2023,Vietcombank,Menes,2023-11-24T15:39:38.288617200
CNY,YUAN RENMINBI,"3,276.55","3,309.65","3,416.59",23:00,16/11/2023,Vietcombank,Menes,2023-11-24T15:39:38.338433400
DKK,DANISH KRONE,-,"3,462.11","3,594.95",23:00,16/11/2023,Vietcombank,Menes,2023-11-24T15:39:38.386026400
INR,INDIAN RUPEE,-,291.09,302.75,23:00,16/11/2023,Vietcombank,Menes,2023-11-24T15:39:38.434635300
KRW,KOREAN WON,16.13,17.93,19.55,23:00,16/11/2023,Vietcombank,Menes,2023-11-24T15:39:38.475734900
KWD,KUWAITI DINAR,-,"78,472.35","81,615.45",23:00,16/11/2023,Vietcombank,Menes,2023-11-24T15:39:38.517358100
MYR,MALAYSIAN RINGGIT,-,"5,104.05","5,215.74",23:00,16/11/2023,Vietcombank,Menes,2023-11-24T15:39:38.559
NOK,NORWEGIAN KRONER,-,"2,190.58","2,283.75",23:00,16/11/2023,Vietcombank,Menes,2023-11-24T15:39:38.606808400
R,,,,,,,,,
